State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total_Calls,Total_minutes,Service_pressure,Call_Per_Day,min_per_day
NE,189,415,No,Yes,38,256.7,98,150.5,120,123.0,87,11.4,3,3,False,308,541.6,0.015789473684210527,1.6210526315789473,2.850526315789474
CO,63,415,No,Yes,32,30.9,113,187.0,113,230.8,101,8.6,7,1,False,334,457.30000000000007,0.015625,5.21875,7.145312500000001
SC,108,510,No,No,0,187.4,101,199.9,126,216.1,107,12.6,8,1,False,342,616.0,0.009174311926605505,3.1376146788990824,5.651376146788991
CO,71,415,No,No,0,277.5,104,131.8,121,126.9,101,8.2,2,1,False,328,544.4000000000001,0.013888888888888888,4.555555555555555,7.561111111111113
MS,137,510,No,No,0,147.2,119,192.8,91,172.7,105,10.2,4,1,False,319,522.9000000000001,0.007246376811594203,2.3115942028985508,3.789130434782609
NE,82,408,No,No,0,185.8,36,276.5,134,192.1,104,5.7,7,4,False,281,660.1,0.04819277108433735,3.3855421686746987,7.953012048192772
MT,96,415,No,No,0,97.6,98,105.5,118,220.2,105,11.6,9,1,False,330,434.9,0.010309278350515464,3.402061855670103,4.483505154639175
NH,37,415,No,No,0,206.0,89,186.0,88,307.1,86,8.4,11,0,False,274,707.5,0.0,7.2105263157894735,18.61842105263158
IA,98,415,No,No,0,216.8,86,190.8,114,187.5,79,11.0,9,0,False,288,606.1,0.0,2.909090909090909,6.122222222222223
WV,121,415,No,No,0,103.3,110,129.1,82,167.1,113,10.7,3,0,False,308,410.2,0.0,2.5245901639344264,3.362295081967213
RI,94,415,No,No,0,139.4,95,159.1,92,128.2,129,7.7,3,0,False,319,434.4,0.0,3.357894736842105,4.572631578947369
KS,99,415,No,No,0,191.2,110,163.9,102,243.6,114,14.1,3,1,False,329,612.8000000000001,0.01,3.29,6.128000000000001
MT,163,510,No,Yes,23,160.0,104,189.4,64,229.9,118,10.4,7,1,False,293,589.6999999999999,0.006097560975609756,1.7865853658536586,3.5957317073170727
MO,161,510,No,No,0,221.7,95,193.0,82,194.1,113,6.5,4,3,False,294,615.3,0.018518518518518517,1.8148148148148149,3.798148148148148
HI,99,415,No,No,0,62.9,81,231.0,64,168.9,121,8.5,5,1,False,271,471.29999999999995,0.01,2.71,4.712999999999999
CO,108,415,No,No,0,215.6,78,195.3,119,194.4,65,3.6,5,1,False,267,608.9,0.009174311926605505,2.44954128440367,5.586238532110092
CT,84,510,No,Yes,42,165.3,97,223.5,118,260.8,72,7.6,7,3,False,294,657.2,0.03529411764705882,3.458823529411765,7.7317647058823535
DC,139,510,No,No,0,203.2,81,152.5,99,197.8,76,9.7,3,2,False,259,563.2,0.014285714285714285,1.85,4.022857142857143
TN,69,510,No,No,0,195.3,70,216.7,108,259.9,119,12.5,4,3,False,301,684.4,0.04285714285714286,4.3,9.777142857142858
WY,129,510,No,No,0,143.7,114,297.8,98,212.6,86,11.4,8,4,False,306,665.5,0.03076923076923077,2.353846153846154,5.119230769230769
MO,106,415,No,No,0,114.4,104,78.3,101,232.7,78,0.0,0,2,False,283,425.4,0.018691588785046728,2.6448598130841123,3.975700934579439
SD,168,415,No,Yes,22,175.9,70,211.7,105,174.5,81,7.3,5,2,False,261,569.4,0.011834319526627219,1.544378698224852,3.3692307692307693
GA,57,408,Yes,Yes,30,234.5,130,195.2,116,268.8,94,11.4,4,2,False,344,709.9,0.034482758620689655,5.931034482758621,12.239655172413793
AZ,67,415,No,No,0,210.7,116,219.2,86,179.7,83,7.2,6,1,False,291,616.8,0.014705882352941176,4.279411764705882,9.070588235294117
AK,127,408,No,No,0,182.3,124,169.9,110,184.0,116,9.3,3,1,False,353,545.5,0.0078125,2.7578125,4.26171875
AK,78,510,No,No,0,190.3,88,194.5,89,256.5,109,11.7,5,2,False,291,653.0,0.02531645569620253,3.6835443037974684,8.265822784810126
CT,100,415,No,Yes,38,177.1,88,163.7,108,242.7,72,7.4,2,0,False,270,590.9,0.0,2.6732673267326734,5.85049504950495
KY,113,415,No,No,0,215.6,96,193.4,127,105.4,115,13.5,3,1,False,341,527.9,0.008771929824561403,2.991228070175439,4.6307017543859645
MI,78,510,No,No,0,137.4,109,237.6,49,206.7,136,14.0,11,3,False,305,595.7,0.0379746835443038,3.8607594936708862,7.540506329113924
OR,129,510,No,Yes,36,192.8,103,177.0,83,216.5,118,16.4,5,1,False,309,602.6999999999999,0.007692307692307693,2.376923076923077,4.636153846153846
TN,57,510,No,No,0,149.3,100,200.2,110,231.7,101,11.9,3,2,False,314,593.1,0.034482758620689655,5.413793103448276,10.225862068965517
WV,82,408,No,No,0,143.7,116,170.7,99,287.7,95,7.8,5,1,False,315,609.8999999999999,0.012048192771084338,3.7951807228915664,7.348192771084336
WY,94,510,No,No,0,271.2,105,202.6,105,221.6,51,11.5,3,3,True,264,706.9,0.031578947368421054,2.778947368421053,7.441052631578947
WY,90,415,No,No,0,207.2,121,292.5,104,226.3,103,8.0,1,2,False,329,734.0,0.02197802197802198,3.6153846153846154,8.065934065934066
IN,48,510,No,No,0,300.4,94,133.2,103,197.4,94,7.2,5,2,False,296,638.2,0.04081632653061224,6.040816326530612,13.024489795918369
NM,85,408,No,Yes,37,229.6,123,132.3,90,211.9,76,9.5,8,2,False,297,583.3,0.023255813953488372,3.453488372093023,6.782558139534883
NJ,93,415,Yes,Yes,20,187.5,110,169.8,94,175.3,127,12.1,4,1,False,335,544.7,0.010638297872340425,3.5638297872340425,5.794680851063831
DC,169,415,Yes,No,0,57.1,98,199.7,78,274.7,103,6.5,6,3,False,285,538.0,0.01764705882352941,1.6764705882352942,3.164705882352941
UT,68,415,No,No,0,162.1,86,155.0,86,189.7,87,11.0,9,5,True,268,517.8,0.07246376811594203,3.8840579710144927,7.504347826086956
KY,91,415,Yes,No,0,145.0,89,175.8,102,223.7,151,16.7,3,2,True,345,561.2,0.021739130434782608,3.75,6.1000000000000005
KS,68,510,No,No,0,159.5,123,240.8,93,210.3,76,11.4,3,1,False,295,622.0,0.014492753623188406,4.27536231884058,9.014492753623188
MI,101,510,No,No,0,190.7,72,208.6,103,203.8,111,8.8,8,1,False,294,611.8999999999999,0.00980392156862745,2.8823529411764706,5.9990196078431355
UT,67,510,No,Yes,20,230.6,40,189.1,58,162.2,115,9.4,2,1,False,215,591.3,0.014705882352941176,3.161764705882353,8.695588235294117
NE,66,415,No,No,0,34.0,133,278.6,61,129.6,120,11.5,3,0,False,317,453.70000000000005,0.0,4.731343283582089,6.771641791044777
FL,116,415,No,Yes,17,193.4,112,240.6,131,248.1,98,11.4,3,5,False,344,693.5,0.042735042735042736,2.9401709401709404,5.927350427350428
LA,158,408,No,No,0,202.0,126,163.5,86,195.4,84,10.4,6,1,False,302,571.3,0.006289308176100629,1.89937106918239,3.593081761006289
MT,78,415,No,No,0,191.7,122,241.4,88,203.5,86,9.1,5,1,False,301,645.7,0.012658227848101266,3.810126582278481,8.173417721518987
WA,119,415,No,Yes,26,161.3,97,250.3,110,142.4,92,6.6,8,1,False,307,560.6,0.008333333333333333,2.558333333333333,4.671666666666667
MI,120,415,No,No,0,150.6,85,119.0,128,232.9,123,6.4,2,1,False,338,508.9,0.008264462809917356,2.793388429752066,4.205785123966942
KY,155,510,No,No,0,184.6,102,196.0,117,226.5,122,7.8,1,1,False,342,614.9,0.00641025641025641,2.1923076923076925,3.9416666666666664
LA,106,408,No,No,0,220.7,120,270.2,95,121.6,113,8.7,5,1,False,333,621.2,0.009345794392523364,3.1121495327102804,5.805607476635514
AL,146,415,No,Yes,32,154.0,80,185.5,91,148.2,107,8.2,4,3,False,282,495.9,0.02040816326530612,1.9183673469387754,3.373469387755102
MO,101,415,No,Yes,29,121.1,116,186.4,100,241.7,75,10.1,6,0,False,297,559.3000000000001,0.0,2.911764705882353,5.483333333333334
CO,22,510,No,Yes,23,182.1,94,164.6,59,128.8,102,12.7,4,3,False,259,488.2,0.13043478260869565,11.26086956521739,21.226086956521737
NY,41,415,No,No,0,209.9,105,121.9,105,253.7,104,9.6,4,1,False,318,595.1,0.023809523809523808,7.571428571428571,14.16904761904762
OR,69,415,No,No,0,167.5,76,242.1,92,101.2,103,11.4,4,2,False,275,522.2,0.02857142857142857,3.9285714285714284,7.460000000000001
WY,33,415,No,No,0,213.9,88,239.8,119,148.7,71,9.8,14,2,False,292,612.2,0.058823529411764705,8.588235294117647,18.00588235294118
UT,112,415,No,No,0,115.8,108,243.3,111,184.6,78,13.1,5,1,False,302,556.8000000000001,0.008849557522123894,2.672566371681416,4.9274336283185844
NV,136,415,No,Yes,21,179.4,88,181.1,97,320.7,120,9.5,4,2,False,309,690.7,0.014598540145985401,2.2554744525547443,5.041605839416059
NC,128,510,No,No,0,187.3,84,270.8,95,206.4,68,10.1,5,1,False,252,674.6,0.007751937984496124,1.9534883720930232,5.229457364341085
NC,27,408,No,No,0,201.2,128,227.2,100,145.8,91,8.4,3,2,False,322,582.6,0.07142857142857142,11.5,20.807142857142857
WY,161,415,Yes,No,0,189.6,78,267.4,117,184.5,137,1.3,6,1,False,338,642.8,0.006172839506172839,2.0864197530864197,3.967901234567901
FL,120,415,No,Yes,31,153.5,83,219.1,96,237.4,76,11.4,4,0,False,259,621.4,0.0,2.1404958677685952,5.135537190082644
CA,113,415,No,No,0,187.6,97,208.2,118,158.9,101,8.7,6,2,False,322,563.4,0.017543859649122806,2.824561403508772,4.942105263157894
PA,122,415,Yes,No,0,230.9,132,243.2,99,182.4,57,11.0,2,0,True,290,667.5,0.0,2.3577235772357725,5.426829268292683
WV,148,415,No,Yes,26,244.9,150,118.0,138,236.0,91,15.2,4,2,False,383,614.1,0.013422818791946308,2.5704697986577183,4.121476510067114
NJ,74,415,No,No,0,230.9,93,223.0,78,157.8,101,9.7,2,3,False,274,621.4000000000001,0.04,3.6533333333333333,8.285333333333334
MT,106,415,No,No,0,187.1,104,250.2,117,144.9,81,11.0,3,1,False,305,593.1999999999999,0.009345794392523364,2.850467289719626,5.543925233644859
MN,179,415,No,No,0,170.7,54,191.1,108,214.6,107,13.3,4,1,False,273,589.6999999999999,0.005555555555555556,1.5166666666666666,3.2761111111111108
ID,77,510,No,No,0,189.5,112,207.0,95,214.1,91,9.2,7,0,False,305,619.8000000000001,0.0,3.91025641025641,7.946153846153847
MA,127,408,Yes,No,0,176.9,110,167.9,100,182.2,138,7.7,2,1,True,350,534.7,0.0078125,2.734375,4.17734375
OR,80,415,No,No,0,161.1,99,198.8,81,228.4,116,10.6,4,1,False,300,598.9,0.012345679012345678,3.7037037037037037,7.393827160493827
AL,61,415,No,Yes,20,254.4,133,161.7,96,251.4,91,10.5,4,0,False,324,678.0,0.0,5.225806451612903,10.935483870967742
ND,135,510,Yes,Yes,24,127.7,54,215.0,105,234.3,84,5.8,4,2,False,247,582.8,0.014705882352941176,1.8161764705882353,4.285294117647059
LA,115,415,No,Yes,26,170.5,107,217.2,77,225.7,71,13.6,5,6,False,260,627.0,0.05172413793103448,2.2413793103448274,5.405172413793103
MS,107,510,Yes,No,0,273.5,104,183.8,68,153.8,67,11.0,9,2,False,248,622.1,0.018518518518518517,2.2962962962962963,5.760185185185185
WV,112,415,Yes,No,0,161.9,138,200.9,114,134.0,134,10.7,4,1,False,390,507.5,0.008849557522123894,3.4513274336283186,4.491150442477876
KS,103,408,Yes,No,0,62.8,124,170.4,66,280.2,78,9.4,4,3,False,272,522.8,0.028846153846153848,2.6153846153846154,5.026923076923077
PA,69,415,No,No,0,228.2,70,263.7,80,142.6,60,10.7,5,3,False,215,645.2,0.04285714285714286,3.0714285714285716,9.217142857142857
SD,85,408,No,No,0,209.8,82,194.5,94,200.4,85,11.3,3,0,False,264,616.0,0.0,3.0697674418604652,7.162790697674419
NJ,24,408,No,No,0,265.6,86,208.8,102,182.5,105,11.1,6,2,True,299,668.0000000000001,0.08,11.96,26.720000000000006
AL,90,415,No,No,0,214.9,97,117.8,117,133.7,78,11.8,2,2,False,294,478.2,0.02197802197802198,3.230769230769231,5.254945054945055
ME,137,510,No,No,0,110.5,79,223.2,111,169.5,64,10.5,3,3,False,257,513.7,0.021739130434782608,1.8623188405797102,3.7224637681159423
NV,69,510,Yes,Yes,33,271.5,98,253.4,102,165.4,85,8.2,2,1,True,287,698.5,0.014285714285714285,4.1,9.978571428571428
WI,45,408,No,No,0,112.8,108,218.8,120,240.2,106,9.0,3,2,False,337,580.8,0.043478260869565216,7.326086956521739,12.626086956521737
HI,73,408,No,No,0,187.3,118,239.7,90,167.5,108,15.1,2,1,False,318,609.6,0.013513513513513514,4.297297297297297,8.237837837837839
DE,92,415,No,No,0,197.0,84,269.3,105,158.9,105,10.8,4,1,False,298,636.0,0.010752688172043012,3.204301075268817,6.838709677419355
AZ,113,415,No,Yes,32,180.4,89,129.4,124,166.9,124,8.4,2,1,False,339,485.1,0.008771929824561403,2.973684210526316,4.255263157894737
GA,135,415,No,Yes,22,197.1,113,259.4,95,134.7,135,14.6,5,2,False,348,605.8000000000001,0.014705882352941176,2.5588235294117645,4.454411764705883
AZ,100,415,No,Yes,26,153.7,115,137.8,146,213.5,104,15.9,5,1,False,370,520.9,0.009900990099009901,3.6633663366336635,5.157425742574257
MN,96,415,No,Yes,27,261.3,96,220.9,101,179.4,97,11.3,2,1,False,296,672.9,0.010309278350515464,3.051546391752577,6.937113402061855
ME,108,510,No,No,0,246.2,102,202.4,134,180.1,95,9.4,5,1,False,336,638.1,0.009174311926605505,3.0825688073394497,5.854128440366972
FL,84,510,No,No,0,191.0,88,318.8,119,247.3,79,6.5,4,0,False,290,763.6,0.0,3.411764705882353,8.983529411764707
WA,134,408,No,No,0,208.3,86,253.6,89,291.0,86,12.6,3,1,False,264,765.5,0.007407407407407408,1.9555555555555555,5.67037037037037
MT,72,415,No,No,0,253.0,73,219.3,78,210.8,89,9.8,4,0,False,244,692.9,0.0,3.3424657534246576,9.491780821917807
AL,83,408,No,No,0,202.3,87,201.5,111,101.7,82,6.8,4,0,False,284,512.3,0.0,3.380952380952381,6.098809523809523
WV,137,408,No,No,0,174.4,120,156.3,98,136.5,121,10.2,5,0,False,344,477.40000000000003,0.0,2.4927536231884058,3.4594202898550726
GA,56,415,No,Yes,30,127.1,89,172.1,116,194.6,111,12.1,3,1,False,319,505.9,0.017543859649122806,5.5964912280701755,8.875438596491227
OH,61,510,Yes,Yes,16,143.5,76,242.6,58,147.7,95,11.3,3,0,False,232,545.0999999999999,0.0,3.7419354838709675,8.791935483870967
DE,171,510,No,Yes,17,186.9,94,240.0,138,200.9,64,5.8,3,1,False,299,633.5999999999999,0.005813953488372093,1.7383720930232558,3.6837209302325578
FL,58,510,No,No,0,234.8,89,106.8,131,178.5,122,9.9,6,0,False,348,530.0,0.0,5.898305084745763,8.983050847457626
AK,156,510,No,No,0,123.7,96,103.0,80,189.4,82,13.1,4,1,False,262,429.20000000000005,0.006369426751592357,1.6687898089171975,2.7337579617834398
WI,166,510,No,No,0,173.9,103,276.4,83,190.8,113,15.3,5,0,False,304,656.3999999999999,0.0,1.8203592814371257,3.9305389221556877
KY,75,415,No,No,0,314.6,102,169.8,86,285.1,100,5.7,3,2,True,291,775.2,0.02631578947368421,3.8289473684210527,10.200000000000001
OH,83,510,No,No,0,227.9,78,207.5,115,211.7,100,12.1,5,1,False,298,659.1999999999999,0.011904761904761904,3.5476190476190474,7.847619047619046
UT,243,510,No,No,0,95.5,92,163.7,63,264.2,118,6.6,6,2,False,279,530.0,0.00819672131147541,1.1434426229508197,2.1721311475409837
MN,150,415,No,No,0,146.3,133,202.7,95,234.7,103,13.1,3,1,False,334,596.8000000000001,0.006622516556291391,2.2119205298013247,3.9523178807947024
WV,92,510,No,Yes,16,184.0,99,76.4,134,185.1,96,12.7,3,2,False,332,458.2,0.021505376344086023,3.5698924731182795,4.926881720430107
MN,80,415,No,No,0,105.8,110,43.9,88,189.6,87,13.1,5,0,False,290,352.4,0.0,3.580246913580247,4.350617283950617
AL,134,415,No,No,0,178.0,110,153.8,64,236.6,105,11.7,4,1,False,283,580.1,0.007407407407407408,2.096296296296296,4.297037037037037
PA,77,510,No,Yes,24,149.4,74,123.9,72,174.3,84,10.1,6,1,False,236,457.70000000000005,0.01282051282051282,3.0256410256410255,5.867948717948718
DE,147,510,No,No,0,209.4,104,132.5,78,149.4,123,11.3,3,2,False,308,502.59999999999997,0.013513513513513514,2.081081081081081,3.395945945945946
MO,74,415,No,No,0,172.1,105,211.7,99,182.2,105,11.6,6,1,False,315,577.6,0.013333333333333334,4.2,7.701333333333333
IL,138,510,Yes,No,0,169.3,82,217.9,147,184.2,77,9.4,9,1,False,315,580.8000000000001,0.007194244604316547,2.2661870503597124,4.178417266187051
HI,64,415,No,No,0,194.2,147,173.4,87,268.7,114,5.5,2,2,False,350,641.8,0.03076923076923077,5.384615384615385,9.873846153846154
ME,120,510,No,No,0,198.8,56,230.1,73,119.8,81,9.9,3,2,False,213,558.5999999999999,0.01652892561983471,1.7603305785123966,4.616528925619834
CO,121,408,Yes,No,0,167.7,94,93.7,121,241.3,115,13.4,1,3,True,331,516.1,0.02459016393442623,2.7131147540983607,4.230327868852459
NH,88,415,No,No,0,202.2,86,216.8,93,239.4,99,11.8,2,2,False,280,670.1999999999999,0.02247191011235955,3.146067415730337,7.530337078651685
FL,104,415,No,No,0,76.4,116,115.6,74,226.3,94,9.4,3,3,False,287,427.7,0.02857142857142857,2.7333333333333334,4.073333333333333
GA,27,510,No,No,0,72.7,75,208.6,117,65.8,71,9.9,3,1,False,266,357.0,0.03571428571428571,9.5,12.75
IL,81,415,No,Yes,31,210.4,100,225.5,97,168.7,120,9.7,4,0,False,321,614.3,0.0,3.9146341463414633,7.491463414634146
NC,64,510,Yes,Yes,33,127.2,93,162.9,104,247.4,109,8.1,13,0,False,319,545.6,0.0,4.907692307692308,8.393846153846154
VT,107,510,No,Yes,28,201.8,79,304.9,128,225.6,133,11.9,8,1,False,348,744.1999999999999,0.009259259259259259,3.2222222222222223,6.89074074074074
DC,88,415,No,Yes,17,219.5,78,222.1,94,188.3,92,16.1,5,1,False,269,646.0000000000001,0.011235955056179775,3.0224719101123596,7.258426966292136
VT,111,408,No,No,0,99.3,112,270.5,136,225.3,94,9.0,6,3,False,348,604.1,0.026785714285714284,3.107142857142857,5.39375
NV,77,415,No,No,0,239.2,114,150.0,115,160.8,81,10.3,2,5,False,312,560.3,0.0641025641025641,4.0,7.183333333333333
OR,67,415,Yes,No,0,120.9,58,235.0,88,95.1,130,11.4,11,2,False,287,462.4,0.029411764705882353,4.220588235294118,6.8
AL,102,408,No,No,0,224.7,81,129.4,112,167.6,109,15.8,6,1,False,308,537.5,0.009708737864077669,2.9902912621359223,5.218446601941747
ND,146,408,No,Yes,19,176.6,88,162.7,66,215.5,98,14.6,6,1,False,258,569.4,0.006802721088435374,1.7551020408163265,3.873469387755102
NE,96,415,No,No,0,180.6,92,190.9,114,295.6,125,10.3,4,1,True,335,677.4,0.010309278350515464,3.4536082474226806,6.983505154639175
ME,149,408,No,No,0,237.6,79,192.4,107,207.4,111,9.1,9,0,False,306,646.5,0.0,2.04,4.31
IL,129,415,No,No,0,198.4,91,264.7,106,111.4,101,9.2,2,2,False,300,583.7,0.015384615384615385,2.3076923076923075,4.49
WA,166,408,No,No,0,274.3,110,52.9,109,246.1,119,10.9,5,0,False,343,584.1999999999999,0.0,2.053892215568862,3.4982035928143707
KS,149,510,No,No,0,217.7,91,273.5,74,226.9,99,9.6,3,3,False,267,727.7,0.02,1.78,4.851333333333334
RI,70,415,No,No,0,134.7,96,235.9,90,260.2,113,7.6,6,3,False,305,638.4,0.04225352112676056,4.295774647887324,8.991549295774648
IA,66,510,No,No,0,256.3,135,180.2,106,187.3,135,6.2,7,2,False,383,630.0,0.029850746268656716,5.7164179104477615,9.402985074626866
NV,160,415,No,No,0,176.2,90,196.0,115,263.9,95,9.2,4,1,False,304,645.3,0.006211180124223602,1.8881987577639752,4.008074534161491
WI,129,415,No,Yes,37,205.0,94,165.4,103,185.0,81,11.7,8,1,False,286,567.1,0.007692307692307693,2.2,4.362307692307692
AL,93,408,No,No,0,267.9,114,223.0,74,262.7,90,11.3,3,3,True,281,764.8999999999999,0.031914893617021274,2.9893617021276597,8.13723404255319
HI,169,415,No,No,0,179.2,111,175.2,130,228.6,92,9.9,6,2,False,339,592.9,0.011764705882352941,1.9941176470588236,3.487647058823529
MO,58,415,No,No,0,149.4,145,196.5,105,209.5,108,14.9,3,1,False,361,570.3,0.01694915254237288,6.11864406779661,9.666101694915254
MO,45,408,No,No,0,207.6,71,152.7,94,217.8,125,12.4,13,1,False,303,590.4999999999999,0.021739130434782608,6.586956521739131,12.836956521739127
CT,155,510,No,No,0,165.4,108,183.7,103,80.2,108,8.9,4,3,False,323,438.2,0.019230769230769232,2.0705128205128207,2.8089743589743588
MD,52,415,No,No,0,209.8,114,171.3,82,154.6,119,9.9,9,4,False,324,545.6,0.07547169811320754,6.113207547169812,10.29433962264151
OH,119,415,No,Yes,27,220.1,128,268.2,133,146.5,80,11.1,3,0,False,344,645.9,0.0,2.8666666666666667,5.382499999999999
NV,86,510,No,No,0,141.3,72,154.3,95,210.6,91,8.2,5,1,False,263,514.4000000000001,0.011494252873563218,3.0229885057471266,5.91264367816092
MD,42,408,No,No,0,196.5,89,241.3,123,143.2,105,4.0,7,0,False,324,585.0,0.0,7.534883720930233,13.604651162790697
OH,123,408,No,No,0,105.0,150,251.6,90,258.0,93,14.9,5,0,False,338,629.5,0.0,2.725806451612903,5.076612903225806
MA,98,510,No,No,0,271.4,119,190.4,102,284.7,118,11.1,6,4,True,345,757.6,0.04040404040404041,3.484848484848485,7.652525252525253
OK,149,510,No,Yes,43,206.7,79,174.6,122,241.5,80,10.9,3,1,False,284,633.6999999999999,0.006666666666666667,1.8933333333333333,4.224666666666666
MA,160,408,No,No,0,166.8,109,236.0,117,307.6,77,9.3,1,1,False,304,719.7,0.006211180124223602,1.8881987577639752,4.470186335403727
WA,103,415,No,No,0,204.9,107,135.2,102,208.2,106,10.4,3,5,False,318,558.6999999999999,0.04807692307692308,3.0576923076923075,5.372115384615384
HI,132,415,No,Yes,15,154.6,128,245.6,106,148.6,90,9.1,4,1,False,328,557.9,0.007518796992481203,2.4661654135338344,4.194736842105263
CO,137,415,No,No,0,127.0,107,323.2,75,143.9,127,7.5,2,1,False,311,601.6,0.007246376811594203,2.253623188405797,4.3594202898550725
FL,129,415,Yes,No,0,267.4,78,204.2,85,111.7,146,5.9,4,1,False,313,589.1999999999999,0.007692307692307693,2.4076923076923076,4.5323076923076915
WI,62,415,No,No,0,281.0,66,160.6,108,77.9,74,0.0,0,1,False,248,519.5,0.015873015873015872,3.9365079365079363,8.246031746031745
WY,32,408,No,No,0,171.2,82,185.6,102,203.3,64,10.2,7,1,False,255,570.3,0.030303030303030304,7.7272727272727275,17.28181818181818
GA,86,510,No,No,0,124.1,82,202.6,120,289.6,119,6.7,8,3,False,329,623.0,0.034482758620689655,3.781609195402299,7.160919540229885
FL,130,415,No,No,0,162.8,113,290.3,111,114.9,140,7.2,3,1,False,367,575.2,0.007633587786259542,2.801526717557252,4.3908396946564885
WY,42,408,No,No,0,146.3,84,255.9,113,45.0,117,8.0,12,1,False,326,455.20000000000005,0.023255813953488372,7.5813953488372094,10.586046511627908
DE,73,415,No,No,0,254.8,85,143.4,80,153.9,102,15.0,7,2,False,274,567.1,0.02702702702702703,3.7027027027027026,7.6635135135135135
ME,66,408,No,Yes,26,254.9,108,243.2,135,190.8,95,5.4,3,2,False,341,694.3000000000001,0.029850746268656716,5.08955223880597,10.36268656716418
DC,103,510,No,Yes,31,107.7,124,188.9,104,196.2,98,8.9,3,0,False,329,501.7,0.0,3.1634615384615383,4.8240384615384615
IA,128,408,No,No,0,158.8,75,264.8,91,270.0,77,7.6,7,1,False,250,701.2,0.007751937984496124,1.937984496124031,5.435658914728682
CO,104,415,No,No,0,182.9,113,239.6,85,229.8,104,5.5,4,2,False,306,657.8,0.01904761904761905,2.914285714285714,6.2647619047619045
MN,103,415,No,No,0,198.5,112,42.5,90,179.2,124,12.4,5,0,False,331,432.59999999999997,0.0,3.1826923076923075,4.1596153846153845
AZ,87,510,No,No,0,110.9,91,158.5,115,207.5,131,6.2,5,1,False,342,483.09999999999997,0.011363636363636364,3.8863636363636362,5.489772727272727
LA,109,415,No,Yes,27,166.9,85,221.2,92,197.3,97,12.3,4,1,True,278,597.7,0.00909090909090909,2.5272727272727273,5.4336363636363645
ME,97,510,No,No,0,120.8,96,169.8,101,194.1,63,11.9,3,4,True,263,496.6,0.04081632653061224,2.683673469387755,5.06734693877551
MD,106,415,No,No,0,165.3,118,210.0,101,187.2,93,8.5,3,2,False,315,571.0,0.018691588785046728,2.94392523364486,5.336448598130841
VT,125,415,No,No,0,126.7,113,155.5,131,206.2,112,14.4,7,2,False,363,502.79999999999995,0.015873015873015872,2.880952380952381,3.99047619047619
DC,108,408,No,Yes,35,215.9,106,200.6,107,195.4,107,15.5,7,0,False,327,627.4,0.0,3.0,5.755963302752293
WY,125,415,No,No,0,140.1,132,209.6,126,264.1,77,8.0,2,1,False,337,621.8,0.007936507936507936,2.6746031746031744,4.934920634920634
VA,72,510,Yes,Yes,29,139.8,114,138.2,91,221.0,88,5.5,6,0,False,299,504.5,0.0,4.095890410958904,6.910958904109589
CT,23,510,No,No,0,321.6,107,251.6,115,141.1,158,11.3,3,2,True,383,725.6,0.08333333333333333,15.958333333333334,30.233333333333334
HI,149,510,No,No,0,166.6,61,218.8,107,208.3,131,8.2,6,7,False,305,601.9000000000001,0.04666666666666667,2.033333333333333,4.012666666666667
WI,73,415,No,No,0,214.2,90,196.8,78,157.9,112,5.9,8,0,False,288,574.8,0.0,3.891891891891892,7.767567567567567
MD,61,415,No,No,0,260.0,123,210.5,127,234.7,70,9.0,3,1,True,323,714.2,0.016129032258064516,5.209677419354839,11.519354838709678
WV,161,415,No,No,0,191.9,113,70.9,87,204.8,107,13.4,4,4,True,311,481.0,0.024691358024691357,1.9197530864197532,2.9691358024691357
UT,118,415,No,Yes,24,118.1,83,109.6,72,245.5,73,16.9,2,1,False,230,490.09999999999997,0.008403361344537815,1.9327731092436975,4.118487394957983
CO,23,408,No,No,0,190.2,89,166.4,108,219.8,73,15.0,4,6,False,274,591.4000000000001,0.25,11.416666666666666,24.64166666666667
NC,127,415,No,Yes,25,82.2,95,163.3,109,264.9,104,5.1,6,0,False,314,515.5,0.0,2.453125,4.02734375
NJ,42,415,No,Yes,32,163.8,80,177.8,123,190.4,106,8.1,5,0,False,314,540.1,0.0,7.3023255813953485,12.56046511627907
AR,118,415,No,No,0,267.8,145,316.4,121,208.6,91,14.4,11,5,True,368,807.2,0.04201680672268908,3.092436974789916,6.783193277310925
IA,45,510,No,No,0,159.8,91,120.4,86,163.0,93,10.6,3,2,False,273,453.80000000000007,0.043478260869565216,5.934782608695652,9.86521739130435
GA,50,408,No,Yes,24,214.3,129,289.8,55,312.5,130,10.6,4,1,False,318,827.2,0.0196078431372549,6.235294117647059,16.219607843137254
MO,179,510,No,No,0,287.3,123,288.0,114,266.0,112,10.5,4,0,True,353,851.8,0.0,1.961111111111111,4.732222222222222
MO,152,408,No,No,0,101.2,122,141.6,87,198.5,124,7.5,3,2,False,336,448.8,0.013071895424836602,2.196078431372549,2.9333333333333336
WY,105,415,No,No,0,102.8,74,281.7,125,228.1,113,13.2,5,2,False,317,625.8000000000001,0.018867924528301886,2.990566037735849,5.903773584905661
HI,72,415,No,No,0,109.1,97,115.7,96,295.8,84,8.3,6,0,False,283,528.9,0.0,3.8767123287671232,7.245205479452054
