State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
IL,21,415,No,No,0,146.0,78,109.7,79,247.4,108,6.8,7,0,False
DE,122,510,No,No,0,157.1,134,184.9,122,197.2,59,8.5,5,4,True
RI,133,510,Yes,No,0,127.3,108,251.3,81,135.0,88,10.3,3,1,False
TX,145,415,No,No,0,187.9,110,197.0,117,167.0,108,4.8,4,2,False
OR,25,408,No,No,0,178.8,90,141.2,72,203.0,99,8.4,5,2,False
MS,126,415,No,No,0,256.5,112,199.5,90,188.3,122,7.0,5,3,False
OR,76,415,No,No,0,169.5,77,124.0,87,219.4,92,10.0,3,0,False
DE,113,415,No,No,0,239.7,47,282.9,110,238.4,88,8.7,3,2,True
DE,224,510,Yes,No,0,171.5,99,160.0,103,212.4,102,5.0,2,1,True
SD,128,408,No,Yes,34,142.3,73,194.8,79,239.3,81,16.0,6,1,False
NV,115,415,No,No,0,184.1,98,327.0,73,212.5,106,7.5,6,2,False
NM,141,415,No,Yes,28,206.9,126,264.4,126,171.8,124,9.3,11,2,False
MN,51,510,No,No,0,259.9,114,176.2,94,77.2,112,15.3,1,1,False
NJ,100,415,No,No,0,203.8,122,283.1,76,197.3,83,12.5,3,0,False
IN,96,415,No,Yes,45,248.8,124,140.3,77,263.6,102,10.3,2,3,False
ME,163,415,No,No,0,122.4,129,113.4,108,180.2,97,12.5,7,1,False
NH,67,415,No,Yes,40,104.9,65,216.3,93,217.4,128,9.6,9,1,False
OR,49,510,No,No,0,119.4,69,273.3,92,214.4,153,12.4,7,2,False
KS,46,510,No,No,0,250.3,100,260.6,90,195.0,104,13.3,2,2,True
NE,148,415,No,No,0,178.3,98,282.6,110,181.0,98,11.4,4,1,False
MI,112,510,No,No,0,243.4,77,182.1,97,259.2,94,12.8,2,1,False
SC,78,415,No,No,0,155.0,106,175.3,101,155.6,125,11.8,5,2,False
PA,61,408,No,Yes,31,288.7,101,203.8,102,203.2,49,8.6,3,0,False
MT,58,510,No,Yes,29,240.4,80,118.9,91,164.2,108,11.2,3,1,False
NM,155,415,No,No,0,190.3,123,301.3,96,214.6,134,8.0,3,1,False
OH,100,510,No,No,0,278.0,76,176.7,74,219.5,126,8.3,4,0,True
WY,113,510,No,No,0,155.0,93,330.6,106,189.4,123,13.5,3,1,False
AR,135,510,No,Yes,27,273.4,141,154.0,99,245.8,112,12.3,6,1,False
FL,99,408,No,No,0,155.3,93,265.7,95,145.7,67,12.4,4,0,False
AR,59,510,No,Yes,29,133.1,114,221.2,82,131.6,103,6.8,3,1,False
MO,135,510,No,No,0,246.8,129,187.8,121,154.5,109,12.6,5,1,False
WI,85,408,Yes,No,0,165.4,107,196.0,126,349.2,110,9.6,7,2,False
TX,88,510,No,No,0,138.3,116,236.0,138,179.1,110,9.6,4,3,False
NM,55,510,No,No,0,286.7,100,134.4,121,192.9,122,6.9,5,2,False
GA,75,415,No,No,0,117.3,114,201.1,61,107.9,82,12.2,3,1,False
KS,86,408,No,Yes,23,225.5,107,246.3,105,245.7,81,9.8,2,0,False
OH,97,408,No,No,0,256.4,125,273.9,100,222.7,101,11.1,1,1,True
MA,88,415,No,No,0,264.8,124,245.4,112,160.5,115,14.8,2,1,True
KY,54,408,No,No,0,159.8,99,264.0,64,115.7,70,9.7,7,2,False
DC,11,415,No,Yes,28,190.6,86,220.1,122,180.3,80,6.0,3,3,False
WA,109,415,No,No,0,184.0,120,120.4,119,153.7,86,11.0,3,0,False
UT,90,415,No,No,0,261.8,128,220.6,104,136.6,91,9.6,5,1,False
NV,91,408,No,No,0,133.7,75,195.3,87,280.5,89,5.9,2,0,False
ND,105,415,No,Yes,23,193.5,85,220.2,90,272.4,111,8.5,5,0,False
NV,71,415,Yes,No,0,178.2,113,167.8,94,182.1,111,13.6,3,3,True
FL,132,510,No,Yes,36,226.2,103,181.6,125,258.8,102,10.5,5,3,True
MD,112,415,No,No,0,170.4,103,200.2,71,258.3,100,11.6,4,1,False
AL,41,510,No,Yes,34,194.4,63,254.9,110,160.2,115,17.2,9,2,False
NE,44,415,No,No,0,240.3,146,164.6,83,240.7,106,10.6,2,1,False
NV,78,408,No,No,0,75.0,116,248.7,87,176.0,83,9.5,6,3,False
IL,149,408,No,No,0,69.1,117,136.3,100,181.7,53,6.3,3,1,False
WV,72,510,No,Yes,33,96.6,59,315.4,98,163.3,117,6.2,4,4,True
AR,74,510,No,No,0,148.5,111,146.5,42,289.2,83,9.9,6,3,False
UT,50,510,No,No,0,258.1,106,161.4,106,225.1,110,11.7,5,1,False
GA,141,510,No,Yes,23,149.7,112,162.5,118,220.3,115,7.6,2,3,False
AZ,140,408,No,No,0,149.8,134,164.4,98,294.7,124,8.1,2,1,False
ID,99,408,No,No,0,190.4,102,158.1,107,271.5,92,11.2,4,2,False
HI,166,408,No,No,0,181.4,108,253.8,54,112.3,94,11.6,6,1,False
MD,74,415,No,No,0,155.7,116,173.7,63,257.4,97,8.1,4,0,False
GA,117,510,No,No,0,149.9,95,256.1,110,212.7,92,13.3,13,2,False
GA,85,510,No,No,0,222.3,132,231.5,101,223.5,75,11.0,2,3,False
UT,36,415,No,Yes,16,149.4,111,131.8,113,132.7,87,6.7,2,0,False
IN,76,415,No,No,0,204.2,100,292.6,139,244.3,105,10.5,2,0,False
VT,165,510,No,No,0,242.9,126,209.8,65,228.4,126,0.0,0,1,False
IA,130,415,No,No,0,150.4,119,230.5,99,186.3,76,12.3,4,1,False
ME,92,415,Yes,No,0,130.7,113,260.6,122,244.2,98,9.4,2,2,True
MD,18,408,No,No,0,273.6,93,114.6,116,250.6,120,8.2,4,1,False
FL,161,415,Yes,No,0,156.1,114,180.3,63,179.6,115,11.1,9,2,False
CA,93,415,No,Yes,36,178.7,134,178.6,102,126.8,82,8.0,4,2,False
AL,144,415,No,No,0,177.5,93,287.4,75,180.5,118,11.9,3,2,False
WV,95,415,No,No,0,175.2,91,244.4,109,75.8,95,7.5,2,1,False
FL,124,415,No,Yes,28,251.4,104,225.1,89,251.9,121,7.5,5,1,False
MI,93,415,Yes,No,0,216.9,61,207.4,120,221.7,110,17.5,5,1,True
MI,109,415,Yes,Yes,26,217.2,138,145.5,111,280.7,76,9.3,3,0,False
NM,80,510,No,No,0,206.3,97,154.9,98,263.6,82,12.4,12,0,False
AK,41,415,No,No,0,159.3,66,125.9,75,261.9,76,11.1,5,1,False
OH,136,415,No,Yes,31,143.1,88,236.6,65,227.8,120,11.4,5,2,False
KS,143,408,No,Yes,24,186.6,69,222.0,116,234.9,138,11.6,5,1,False
MS,118,415,No,Yes,26,170.8,114,199.5,125,169.7,98,9.6,5,5,True
VT,193,408,No,Yes,17,124.0,102,202.9,81,205.1,129,12.3,3,1,False
NE,73,415,No,No,0,198.3,94,279.3,101,146.2,87,14.8,8,3,False
VA,62,408,No,No,0,172.8,101,204.8,97,240.8,90,9.1,8,2,False
DE,30,415,No,Yes,30,217.4,74,213.8,86,227.2,104,6.6,3,0,False
AL,60,408,Yes,Yes,29,265.9,113,215.8,94,108.1,82,14.0,12,0,True
ID,148,510,No,Yes,14,93.6,137,193.8,72,144.9,84,17.5,5,1,False
MS,96,510,No,No,0,98.2,100,307.2,88,182.5,120,7.6,1,2,False
NM,87,415,No,No,0,168.2,92,224.7,100,169.5,99,12.9,3,1,False
WI,41,408,No,No,0,202.9,97,153.8,104,113.5,92,9.0,3,3,False
WV,112,415,No,No,0,261.4,108,154.5,102,130.9,90,11.6,2,1,False
SC,88,510,No,No,0,73.3,86,161.4,82,239.6,76,8.2,3,4,True
KY,122,408,No,Yes,27,253.7,84,229.2,109,190.5,123,9.2,5,7,False
MO,61,408,No,No,0,45.0,108,151.3,74,152.9,94,9.8,6,2,False
OK,176,408,No,No,0,47.4,125,167.8,90,163.1,107,10.5,8,2,False
MI,30,510,No,No,0,227.4,88,182.5,100,191.7,134,12.5,3,0,False
ID,46,415,No,No,0,124.8,133,157.3,143,199.3,72,8.6,4,2,False
DC,100,510,Yes,No,0,68.5,110,337.1,115,205.2,99,12.1,9,0,False
NY,47,415,No,Yes,37,163.5,77,203.1,102,232.0,87,7.8,4,2,False
AL,77,415,No,No,0,163.0,112,219.1,89,233.4,66,6.7,3,2,False
OR,98,415,No,Yes,38,213.7,61,253.0,104,207.7,73,10.7,5,2,False
OK,125,415,No,Yes,36,201.3,117,42.2,78,125.7,104,5.4,3,1,False
NE,194,408,No,No,0,48.4,101,281.1,138,218.5,87,18.2,1,1,False
TX,128,415,No,Yes,40,171.2,88,145.7,109,196.8,93,14.0,6,1,False
UT,190,415,No,Yes,22,166.5,93,183.0,92,121.0,102,8.5,3,0,False
NY,59,408,No,No,0,107.8,113,216.6,125,217.5,92,9.9,3,2,False
AL,47,408,No,Yes,28,141.3,94,168.0,108,113.5,84,7.8,2,1,False
MN,152,415,Yes,Yes,20,237.5,120,253.4,94,265.2,80,14.2,3,9,True
RI,95,510,No,Yes,27,129.5,106,248.9,90,268.0,115,11.9,3,1,False
CT,31,415,No,Yes,31,100.1,54,246.3,97,255.0,131,5.9,3,0,False
OK,121,408,No,Yes,31,237.1,63,205.6,117,196.7,85,10.1,5,4,False
AK,111,415,No,No,0,172.8,58,183.1,108,158.8,104,7.9,3,4,True
GA,44,510,No,No,0,288.1,112,258.0,92,192.4,90,10.2,4,3,True
UT,61,510,Yes,No,0,78.2,103,195.9,149,108.0,100,10.1,6,2,False
NM,65,415,No,No,0,148.7,80,259.0,94,149.5,107,12.7,6,2,False
NE,74,415,No,Yes,25,194.6,84,119.9,103,175.5,75,13.1,2,2,False
NJ,123,408,No,No,0,159.5,77,303.8,92,226.9,120,12.0,4,0,False
TX,58,408,No,Yes,20,194.5,110,213.7,89,236.6,92,9.5,2,1,False
MT,74,408,No,No,0,174.1,96,251.1,94,257.6,123,8.3,5,2,True
CO,125,415,No,No,0,131.8,97,136.7,100,308.2,119,7.7,6,2,False
RI,53,408,No,Yes,18,146.8,107,310.0,84,178.7,130,7.2,7,0,False
WY,99,408,No,Yes,28,200.7,88,264.2,116,172.7,102,9.1,5,1,False
ID,99,415,No,No,0,145.6,106,98.3,106,230.8,83,10.9,5,1,False
CT,66,415,No,Yes,29,229.4,104,257.4,84,231.5,119,8.0,1,2,False
ME,97,510,No,No,0,211.0,76,189.0,100,123.0,102,4.7,4,3,False
MD,85,510,Yes,No,0,216.0,73,188.2,117,147.1,98,3.6,7,2,False
IN,108,510,No,No,0,293.0,88,160.6,101,143.9,87,10.0,6,2,False
NC,133,408,Yes,Yes,32,221.1,137,264.9,99,168.9,108,15.4,4,2,True
DE,51,510,No,No,0,181.5,108,196.9,87,187.2,119,10.3,2,1,False
MN,186,415,No,Yes,26,74.3,107,177.3,116,296.3,90,14.5,3,2,False
WI,44,415,Yes,No,0,62.3,92,275.0,82,138.7,108,10.8,3,1,False
FL,64,408,No,Yes,31,228.6,88,248.5,109,167.1,124,9.0,1,3,False
SD,114,415,No,Yes,36,309.9,90,200.3,89,183.5,105,14.2,2,1,False
FL,92,415,No,No,0,201.9,74,226.8,119,217.5,80,13.7,6,3,False
OR,110,408,No,No,0,149.8,112,180.0,93,140.0,119,11.7,4,2,False
CO,90,408,No,Yes,30,183.8,76,229.7,95,144.1,124,7.7,3,1,False
CT,72,408,No,Yes,21,186.7,108,335.0,86,187.2,119,16.5,4,1,False
IN,113,415,No,No,0,209.4,151,347.3,113,246.0,116,7.4,2,1,True
PA,171,415,No,Yes,25,223.2,77,183.2,118,150.8,90,10.2,3,3,False
NM,104,415,No,No,0,164.2,109,155.4,90,168.9,117,10.7,8,1,False
ME,165,408,No,No,0,150.5,75,193.1,93,311.6,93,10.3,2,1,False
SD,104,510,No,No,0,234.2,128,293.1,92,183.9,79,9.8,6,0,True
AR,110,408,No,No,0,55.3,102,164.7,124,200.7,108,10.2,5,1,False
TX,90,408,Yes,No,0,221.8,97,203.8,134,215.8,154,8.4,4,1,False
NH,114,415,No,No,0,169.6,85,58.9,86,179.3,124,7.4,8,1,False
AL,109,408,No,No,0,218.9,105,299.9,87,158.6,110,11.3,4,2,False
OK,92,510,No,No,0,176.3,85,93.4,125,207.2,107,9.6,1,2,False
ME,82,510,No,Yes,29,207.2,111,254.1,137,169.3,92,9.5,5,2,False
WV,90,415,No,No,0,205.7,138,161.9,83,269.7,104,12.5,6,2,False
HI,87,408,No,Yes,28,151.4,95,152.4,97,250.1,109,0.0,0,1,False
MN,124,510,No,No,0,157.5,70,130.7,79,193.4,98,9.6,4,3,False
AZ,84,415,No,No,0,159.0,80,167.9,128,167.6,101,12.3,5,1,False
OH,75,510,No,Yes,46,214.1,62,200.9,111,246.8,126,9.2,6,0,False
MI,102,510,No,No,0,102.6,89,246.0,77,170.5,140,9.1,4,2,False
MA,62,415,Yes,No,0,159.7,86,197.5,76,121.6,105,13.9,6,0,True
WV,143,510,No,No,0,202.8,109,165.8,104,143.9,71,4.6,4,1,False
MI,53,415,No,No,0,57.5,95,265.5,131,244.3,128,11.6,6,3,False
MO,112,415,No,No,0,335.5,77,212.5,109,265.0,132,12.7,8,2,True
RI,129,415,No,No,0,139.5,119,289.3,105,129.4,97,13.1,8,0,False
WY,28,415,No,No,0,187.8,94,248.6,86,208.8,124,10.6,5,0,False
KY,90,415,No,No,0,193.7,83,154.2,79,299.0,60,12.7,3,1,False
OR,151,510,No,No,0,156.4,108,233.4,118,195.7,141,7.7,6,4,False
DC,41,408,No,Yes,37,239.8,110,221.9,115,189.1,100,7.3,1,2,False
UT,48,510,No,Yes,43,172.0,111,200.2,64,233.1,96,8.0,5,1,False
VA,153,510,No,No,0,195.4,107,154.6,96,142.8,97,11.6,6,1,False
KS,110,415,Yes,No,0,293.3,79,188.5,90,266.9,91,14.5,4,0,True
KS,163,415,No,No,0,191.3,89,193.9,87,268.4,121,12.8,4,1,False
DC,126,510,No,No,0,122.4,88,143.8,111,157.0,106,11.5,3,1,False
DC,126,415,No,No,0,161.4,110,220.6,125,249.2,78,5.1,2,0,False
TX,97,510,No,No,0,144.2,91,226.7,137,144.6,72,13.8,4,3,False
NJ,95,408,Yes,Yes,37,220.2,109,185.3,99,205.1,82,4.1,2,0,True
DE,87,510,No,No,0,256.2,105,160.7,102,249.4,80,7.4,2,4,False
VT,97,415,No,No,0,112.7,119,217.7,109,152.1,76,6.5,5,1,False
GA,76,415,No,No,0,299.5,125,226.7,92,210.7,134,13.7,4,0,True
TX,140,408,No,No,0,194.8,107,170.9,99,225.1,93,13.9,4,0,False
MT,169,415,No,No,0,100.8,112,230.0,69,193.6,95,9.5,2,0,False
ND,68,408,No,Yes,22,82.5,97,289.9,94,180.0,114,4.8,4,3,False
NJ,122,415,No,Yes,34,146.4,104,89.7,103,220.0,91,15.6,4,2,False
MO,36,408,No,No,0,177.9,129,224.6,87,306.3,102,10.8,6,2,False
CO,120,510,No,Yes,27,153.5,84,194.0,73,256.5,94,10.2,7,5,False
NC,64,408,No,Yes,19,180.1,106,127.5,92,237.4,118,7.5,3,0,False
MT,13,415,No,Yes,31,265.3,94,147.6,95,259.3,117,12.9,1,1,False
DE,106,415,No,No,0,128.6,83,134.0,114,210.6,113,11.4,2,0,False
VA,74,408,No,No,0,165.3,120,198.5,106,208.5,102,9.8,3,1,False
IL,83,415,No,No,0,195.0,92,210.5,83,180.6,92,11.0,13,0,False
OK,49,415,No,No,0,213.8,79,265.1,93,239.8,128,15.6,7,0,False
CO,111,510,No,Yes,24,205.5,114,219.3,99,215.9,95,14.0,4,1,False
MT,50,415,No,Yes,22,252.9,112,177.9,99,158.4,146,8.5,4,3,False
ME,88,415,No,No,0,192.0,91,127.6,127,155.6,125,7.5,5,1,False
WI,131,415,No,Yes,39,69.1,122,101.3,136,104.8,94,9.1,4,0,False
MO,79,408,No,No,0,261.7,97,210.6,48,256.7,83,6.0,3,3,True
NY,140,415,No,No,0,235.5,81,257.2,130,103.1,111,11.5,4,2,False
CT,105,408,No,No,0,213.4,100,204.9,52,179.7,93,9.5,6,1,False
WY,87,415,No,Yes,22,263.8,65,103.4,115,208.1,109,8.5,3,3,False
CA,96,510,No,Yes,31,183.4,126,195.5,106,180.1,93,10.5,5,1,False
AK,130,415,No,No,0,242.5,101,102.8,114,142.4,89,9.3,2,2,False
VA,34,415,No,No,0,151.0,102,131.4,101,186.6,86,9.9,7,0,False
CO,139,415,No,No,0,138.1,103,164.5,100,134.9,63,8.3,2,1,False
NE,63,415,No,No,0,211.2,80,237.7,93,259.2,58,12.3,2,0,False
VT,152,415,No,No,0,197.1,126,130.1,76,78.1,100,7.4,4,3,False
ND,147,408,No,No,0,205.3,95,166.7,128,240.6,84,7.8,4,1,False
GA,112,415,No,Yes,22,181.8,110,228.1,123,262.7,141,9.2,4,2,False
OR,120,415,No,No,0,252.0,120,150.2,106,151.8,96,9.6,1,2,False
WY,171,415,No,No,0,231.2,135,188.7,74,206.9,124,12.3,1,1,False
GA,101,415,No,Yes,33,200.1,108,188.9,122,205.1,90,15.5,4,0,False
IL,151,408,No,No,0,175.3,106,144.3,87,160.2,88,11.8,5,0,False
CO,60,408,No,No,0,125.1,99,248.8,62,211.3,79,11.2,3,3,False
MA,42,408,No,No,0,241.2,134,116.5,114,152.2,91,10.6,4,0,False
IN,84,408,No,No,0,217.1,99,236.0,68,118.3,120,9.4,4,1,False
NY,65,510,No,No,0,195.4,110,181.2,109,178.5,105,8.9,4,0,False
TX,75,415,Yes,No,0,222.4,78,327.0,111,208.0,104,8.7,9,1,True
NE,189,415,No,Yes,38,256.7,98,150.5,120,123.0,87,11.4,3,3,False
CO,63,415,No,Yes,32,30.9,113,187.0,113,230.8,101,8.6,7,1,False
SC,108,510,No,No,0,187.4,101,199.9,126,216.1,107,12.6,8,1,False
CO,71,415,No,No,0,277.5,104,131.8,121,126.9,101,8.2,2,1,False
MS,137,510,No,No,0,147.2,119,192.8,91,172.7,105,10.2,4,1,False
NE,82,408,No,No,0,185.8,36,276.5,134,192.1,104,5.7,7,4,False
MT,96,415,No,No,0,97.6,98,105.5,118,220.2,105,11.6,9,1,False
NH,37,415,No,No,0,206.0,89,186.0,88,307.1,86,8.4,11,0,False
IA,98,415,No,No,0,216.8,86,190.8,114,187.5,79,11.0,9,0,False
WV,121,415,No,No,0,103.3,110,129.1,82,167.1,113,10.7,3,0,False
RI,94,415,No,No,0,139.4,95,159.1,92,128.2,129,7.7,3,0,False
KS,99,415,No,No,0,191.2,110,163.9,102,243.6,114,14.1,3,1,False
MT,163,510,No,Yes,23,160.0,104,189.4,64,229.9,118,10.4,7,1,False
MO,161,510,No,No,0,221.7,95,193.0,82,194.1,113,6.5,4,3,False
HI,99,415,No,No,0,62.9,81,231.0,64,168.9,121,8.5,5,1,False
CO,108,415,No,No,0,215.6,78,195.3,119,194.4,65,3.6,5,1,False
CT,84,510,No,Yes,42,165.3,97,223.5,118,260.8,72,7.6,7,3,False
DC,139,510,No,No,0,203.2,81,152.5,99,197.8,76,9.7,3,2,False
TN,69,510,No,No,0,195.3,70,216.7,108,259.9,119,12.5,4,3,False
WY,129,510,No,No,0,143.7,114,297.8,98,212.6,86,11.4,8,4,False
MO,106,415,No,No,0,114.4,104,78.3,101,232.7,78,0.0,0,2,False
SD,168,415,No,Yes,22,175.9,70,211.7,105,174.5,81,7.3,5,2,False
GA,57,408,Yes,Yes,30,234.5,130,195.2,116,268.8,94,11.4,4,2,False
AZ,67,415,No,No,0,210.7,116,219.2,86,179.7,83,7.2,6,1,False
AK,127,408,No,No,0,182.3,124,169.9,110,184.0,116,9.3,3,1,False
AK,78,510,No,No,0,190.3,88,194.5,89,256.5,109,11.7,5,2,False
CT,100,415,No,Yes,38,177.1,88,163.7,108,242.7,72,7.4,2,0,False
KY,113,415,No,No,0,215.6,96,193.4,127,105.4,115,13.5,3,1,False
MI,78,510,No,No,0,137.4,109,237.6,49,206.7,136,14.0,11,3,False
OR,129,510,No,Yes,36,192.8,103,177.0,83,216.5,118,16.4,5,1,False
TN,57,510,No,No,0,149.3,100,200.2,110,231.7,101,11.9,3,2,False
WV,82,408,No,No,0,143.7,116,170.7,99,287.7,95,7.8,5,1,False
WY,94,510,No,No,0,271.2,105,202.6,105,221.6,51,11.5,3,3,True
WY,90,415,No,No,0,207.2,121,292.5,104,226.3,103,8.0,1,2,False
IN,48,510,No,No,0,300.4,94,133.2,103,197.4,94,7.2,5,2,False
NM,85,408,No,Yes,37,229.6,123,132.3,90,211.9,76,9.5,8,2,False
NJ,93,415,Yes,Yes,20,187.5,110,169.8,94,175.3,127,12.1,4,1,False
DC,169,415,Yes,No,0,57.1,98,199.7,78,274.7,103,6.5,6,3,False
UT,68,415,No,No,0,162.1,86,155.0,86,189.7,87,11.0,9,5,True
KY,91,415,Yes,No,0,145.0,89,175.8,102,223.7,151,16.7,3,2,True
KS,68,510,No,No,0,159.5,123,240.8,93,210.3,76,11.4,3,1,False
MI,101,510,No,No,0,190.7,72,208.6,103,203.8,111,8.8,8,1,False
UT,67,510,No,Yes,20,230.6,40,189.1,58,162.2,115,9.4,2,1,False
NE,66,415,No,No,0,34.0,133,278.6,61,129.6,120,11.5,3,0,False
FL,116,415,No,Yes,17,193.4,112,240.6,131,248.1,98,11.4,3,5,False
LA,158,408,No,No,0,202.0,126,163.5,86,195.4,84,10.4,6,1,False
MT,78,415,No,No,0,191.7,122,241.4,88,203.5,86,9.1,5,1,False
WA,119,415,No,Yes,26,161.3,97,250.3,110,142.4,92,6.6,8,1,False
MI,120,415,No,No,0,150.6,85,119.0,128,232.9,123,6.4,2,1,False
KY,155,510,No,No,0,184.6,102,196.0,117,226.5,122,7.8,1,1,False
LA,106,408,No,No,0,220.7,120,270.2,95,121.6,113,8.7,5,1,False
AL,146,415,No,Yes,32,154.0,80,185.5,91,148.2,107,8.2,4,3,False
MO,101,415,No,Yes,29,121.1,116,186.4,100,241.7,75,10.1,6,0,False
CO,22,510,No,Yes,23,182.1,94,164.6,59,128.8,102,12.7,4,3,False
NY,41,415,No,No,0,209.9,105,121.9,105,253.7,104,9.6,4,1,False
OR,69,415,No,No,0,167.5,76,242.1,92,101.2,103,11.4,4,2,False
WY,33,415,No,No,0,213.9,88,239.8,119,148.7,71,9.8,14,2,False
UT,112,415,No,No,0,115.8,108,243.3,111,184.6,78,13.1,5,1,False
NV,136,415,No,Yes,21,179.4,88,181.1,97,320.7,120,9.5,4,2,False
NC,128,510,No,No,0,187.3,84,270.8,95,206.4,68,10.1,5,1,False
NC,27,408,No,No,0,201.2,128,227.2,100,145.8,91,8.4,3,2,False
WY,161,415,Yes,No,0,189.6,78,267.4,117,184.5,137,1.3,6,1,False
FL,120,415,No,Yes,31,153.5,83,219.1,96,237.4,76,11.4,4,0,False
CA,113,415,No,No,0,187.6,97,208.2,118,158.9,101,8.7,6,2,False
PA,122,415,Yes,No,0,230.9,132,243.2,99,182.4,57,11.0,2,0,True
WV,148,415,No,Yes,26,244.9,150,118.0,138,236.0,91,15.2,4,2,False
NJ,74,415,No,No,0,230.9,93,223.0,78,157.8,101,9.7,2,3,False
MT,106,415,No,No,0,187.1,104,250.2,117,144.9,81,11.0,3,1,False
MN,179,415,No,No,0,170.7,54,191.1,108,214.6,107,13.3,4,1,False
ID,77,510,No,No,0,189.5,112,207.0,95,214.1,91,9.2,7,0,False
MA,127,408,Yes,No,0,176.9,110,167.9,100,182.2,138,7.7,2,1,True
OR,80,415,No,No,0,161.1,99,198.8,81,228.4,116,10.6,4,1,False
AL,61,415,No,Yes,20,254.4,133,161.7,96,251.4,91,10.5,4,0,False
ND,135,510,Yes,Yes,24,127.7,54,215.0,105,234.3,84,5.8,4,2,False
LA,115,415,No,Yes,26,170.5,107,217.2,77,225.7,71,13.6,5,6,False
MS,107,510,Yes,No,0,273.5,104,183.8,68,153.8,67,11.0,9,2,False
WV,112,415,Yes,No,0,161.9,138,200.9,114,134.0,134,10.7,4,1,False
KS,103,408,Yes,No,0,62.8,124,170.4,66,280.2,78,9.4,4,3,False
PA,69,415,No,No,0,228.2,70,263.7,80,142.6,60,10.7,5,3,False
SD,85,408,No,No,0,209.8,82,194.5,94,200.4,85,11.3,3,0,False
NJ,24,408,No,No,0,265.6,86,208.8,102,182.5,105,11.1,6,2,True
AL,90,415,No,No,0,214.9,97,117.8,117,133.7,78,11.8,2,2,False
ME,137,510,No,No,0,110.5,79,223.2,111,169.5,64,10.5,3,3,False
NV,69,510,Yes,Yes,33,271.5,98,253.4,102,165.4,85,8.2,2,1,True
WI,45,408,No,No,0,112.8,108,218.8,120,240.2,106,9.0,3,2,False
HI,73,408,No,No,0,187.3,118,239.7,90,167.5,108,15.1,2,1,False
DE,92,415,No,No,0,197.0,84,269.3,105,158.9,105,10.8,4,1,False
AZ,113,415,No,Yes,32,180.4,89,129.4,124,166.9,124,8.4,2,1,False
GA,135,415,No,Yes,22,197.1,113,259.4,95,134.7,135,14.6,5,2,False
AZ,100,415,No,Yes,26,153.7,115,137.8,146,213.5,104,15.9,5,1,False
MN,96,415,No,Yes,27,261.3,96,220.9,101,179.4,97,11.3,2,1,False
ME,108,510,No,No,0,246.2,102,202.4,134,180.1,95,9.4,5,1,False
FL,84,510,No,No,0,191.0,88,318.8,119,247.3,79,6.5,4,0,False
WA,134,408,No,No,0,208.3,86,253.6,89,291.0,86,12.6,3,1,False
MT,72,415,No,No,0,253.0,73,219.3,78,210.8,89,9.8,4,0,False
AL,83,408,No,No,0,202.3,87,201.5,111,101.7,82,6.8,4,0,False
WV,137,408,No,No,0,174.4,120,156.3,98,136.5,121,10.2,5,0,False
GA,56,415,No,Yes,30,127.1,89,172.1,116,194.6,111,12.1,3,1,False
OH,61,510,Yes,Yes,16,143.5,76,242.6,58,147.7,95,11.3,3,0,False
DE,171,510,No,Yes,17,186.9,94,240.0,138,200.9,64,5.8,3,1,False
FL,58,510,No,No,0,234.8,89,106.8,131,178.5,122,9.9,6,0,False
AK,156,510,No,No,0,123.7,96,103.0,80,189.4,82,13.1,4,1,False
WI,166,510,No,No,0,173.9,103,276.4,83,190.8,113,15.3,5,0,False
KY,75,415,No,No,0,314.6,102,169.8,86,285.1,100,5.7,3,2,True
OH,83,510,No,No,0,227.9,78,207.5,115,211.7,100,12.1,5,1,False
UT,243,510,No,No,0,95.5,92,163.7,63,264.2,118,6.6,6,2,False
MN,150,415,No,No,0,146.3,133,202.7,95,234.7,103,13.1,3,1,False
WV,92,510,No,Yes,16,184.0,99,76.4,134,185.1,96,12.7,3,2,False
MN,80,415,No,No,0,105.8,110,43.9,88,189.6,87,13.1,5,0,False
AL,134,415,No,No,0,178.0,110,153.8,64,236.6,105,11.7,4,1,False
PA,77,510,No,Yes,24,149.4,74,123.9,72,174.3,84,10.1,6,1,False
DE,147,510,No,No,0,209.4,104,132.5,78,149.4,123,11.3,3,2,False
MO,74,415,No,No,0,172.1,105,211.7,99,182.2,105,11.6,6,1,False
IL,138,510,Yes,No,0,169.3,82,217.9,147,184.2,77,9.4,9,1,False
HI,64,415,No,No,0,194.2,147,173.4,87,268.7,114,5.5,2,2,False
ME,120,510,No,No,0,198.8,56,230.1,73,119.8,81,9.9,3,2,False
CO,121,408,Yes,No,0,167.7,94,93.7,121,241.3,115,13.4,1,3,True
NH,88,415,No,No,0,202.2,86,216.8,93,239.4,99,11.8,2,2,False
FL,104,415,No,No,0,76.4,116,115.6,74,226.3,94,9.4,3,3,False
GA,27,510,No,No,0,72.7,75,208.6,117,65.8,71,9.9,3,1,False
IL,81,415,No,Yes,31,210.4,100,225.5,97,168.7,120,9.7,4,0,False
NC,64,510,Yes,Yes,33,127.2,93,162.9,104,247.4,109,8.1,13,0,False
VT,107,510,No,Yes,28,201.8,79,304.9,128,225.6,133,11.9,8,1,False
